CODICE_VIA,STATO,TIPO,DENOMINAZIONE,DATA_INTITOLAZIONE,ANNO_SOPPRESSIONE,DESCRITTIVO,ANNCSU,OPENSTREETMAP,PROGANNCSU
7383,2,1,DE ROLANDI BATTISTA,,0,DE ROLANDI BATTISTA,BATTISTA DE ROLANDI,BATTISTA DE ROLANDI,
7384,2,1,ALBERTOLLI GIOCONDO,19280518,0,GIOCONDO ALBERTOLLI,GIOCONDO ALBERTOLLI,GIOCONDO ALBERTOLLI,
7385,2,1,FIAMMINGHINO MAURO,19280518,0,MAURO FIAMMINGHINO,MAURO FIAMMINGHINO,MAURO FIAMMINGHINO,
7386,2,7,ACCURSIO FRANCESCO,,0,FRANCESCO ACCURSIO,FRANCESCO ACCURSIO,FRANCESCO ACCURSIO,
7387,2,1,FIGINO AMBROGIO,19280512,0,AMBROGIO FIGINO,AMBROGIO FIGINO,AMBROGIO FIGINO,
7388,2,1,ARGENTA,,0,ARGENTA,ARGENTA,ARGENTA,
7389,2,1,ROSA SALVATOR,19280518,0,SALVATORE ROSA,SALVATORE ROSA,SALVATOR ROSA,
7390,2,2,ESPINASSE CARLO,,0,CARLO ESPINASSE,CARLO ESPINASSE,CARLO ESPINASSE,
7391,2,1,MOLA PIER FRANCESCO,19280518,0,PIER FRANCESCO MOLA,PIER FRANCESCO MOLA,PIER FRANCESCO MOLA,
7392,2,1,AMPEZZO,,0,AMPEZZO,AMPEZZO,AMPEZZO,
7393,2,1,CALISTO DA LODI,19280518,0,CALISTO DA LODI,CALISTO DA LODI,CALISTO DA LODI,
7394,2,1,NUVOLONE PANFILO,19280518,0,PANFILO NUVOLONE,PANFILO NUVOLONE,PANFILO NUVOLONE,
7395,2,1,PANTELLERIA,,0,PANTELLERIA,PANTELLERIA,PANTELLERIA,
7396,2,1,LUDOVICO DI BREME,,0,LUDOVICO DI BREME,LUDOVICO DI BREME,LUDOVICO DI BREME,
7397,2,1,LOCCHI VITTORIO,,0,VITTORIO LOCCHI,VITTORIO LOCCHI,VITTORIO LOCCHI,
7398,2,1,GALLIARI BERNARDINO,19280518,0,BERNARDINO GALLIARI,BERNARDINO GALLIARI,BERNARDINO GALLIARI,
7399,2,1,PERIN DEL VAGA,19280512,0,PERIN DEL VAGA,PERIN DEL VAGA,PERIN DEL VAGA,
7400,2,7,SANTORRE DI SANTAROSA,19280518,0,SANTORRE DI SANTAROSA,SANTORRE DI SANTAROSA,SANTORRE DI SANTAROSA,
7401,2,1,DE ROSSI GIOVANNI BATTISTA,19280518,0,GIOVANNI BATTISTA DE ROSSI,GIOVANNI BATTISTA DE ROSSI,GIOVANNI BATTISTA DE ROSSI,
7402,2,1,MONTE ALTISSIMO,19280518,0,MONTE ALTISSIMO,MONTE ALTISSIMO,MONTE ALTISSIMO,
7403,2,1,BICETTI DE' BUTTINONI GIOVANNI MARIA,19280518,0,GIOVANNI MARIA BICETTI DE' BUTTINONI,GIOVANNI MARIA BICETTI DE' BUTTINONI,GIOVANNI MARIA BICETTI DE' BUTTINONI,
7404,2,1,RAIMONDI ANTONIO,19280518,0,ANTONIO RAIMONDI,ANTONIO RAIMONDI,ANTONIO RAIMONDI,
7405,2,1,MONTANELLI GIUSEPPE,19280518,0,GIUSEPPE MONTANELLI,GIUSEPPE MONTANELLI,GIUSEPPE MONTANELLI,
7406,2,1,ORIANI BARNABA,,0,BARNABA ORIANI,BARNABA ORIANI,BARNABA ORIANI,
7407,2,1,CAPUANA LUIGI,,0,LUIGI CAPUANA,LUIGI CAPUANA,LUIGI CAPUANA,
7408,2,1,GIOVANNI DA UDINE,19280518,0,GIOVANNI DA UDINE,GIOVANNI DA UDINE,GIOVANNI DA UDINE,
7409,2,1,POLIDORO DA CARAVAGGIO,19280518,0,POLIDORO DA CARAVAGGIO,POLIDORO DA CARAVAGGIO,POLIDORO DA CARAVAGGIO,
7410,2,1,LUCIANO,19280518,0,LUCIANO,LUCIANO,LUCIANO,
7411,2,1,MONTEFELTRO,,0,MONTEFELTRO,MONTEFELTRO,MONTEFELTRO,
7412,2,7,LAGHI (AI),,0,AI LAGHI,AI LAGHI,AI LAGHI,
7413,2,1,GAREGNANO,,0,GAREGNANO,GAREGNANO,GAREGNANO,
7414,2,1,BRUNONE (SAN),19510313,0,SAN BRUNONE,SAN BRUNONE,SAN BRUNONE,
7415,2,1,TRAPANI,19301002,0,TRAPANI,TRAPANI,TRAPANI,
